show,season,yearWatched,source,tmdb_id,kind,season_rating
The Vagrant Queen,1,2020,TV,99412,regular,0
Legion,1,2020,Disney+,67195,regular,0
Legion,2,2020,Disney+,67195,regular,0
Legion,3,2020,Disney+,67195,regular,0
Helstrom,1,2021,Apple TV,88987,regular,0
Foundation,1,2021,Apple TV,93740,regular,0
Squid Game,1,2021,Netflix,93405,regular,0
Andor,1,2022,Disney+,83867,regular,0
Moon Knight,1,2022,Disney+,92749,limited,0
The Peripheral,1,2022,Amazon Prime Video,95403,limited,0
The Sandman,1,2022,Netflix,90802,regular,0
Ms. Marvel,1,2022,Disney+,92782,limited,0
She-Hulk: Attorney at Law,1,2022,Disney+,92783,limited,0
Extrapolations,1,2023,Apple TV,138169,limited,0
Silo,1,2023,Apple TV,125988,regular,0
Black Mirror,6,2023,Netflix,42009,regular,0
Secret Invasion,1,2023,Disney+,114472,limited,0
Star Trek: Strange New Worlds,2,2023,SkyShowTime,103516,regular,0
Futurama,8,2023,Disney+,615,regular,0
Disenchantment,3,2023,Netflix,73021,regular,0
The Simpsons,34,2023,Disney+,456,regular,0
Loki,2,2023,Disney+,84958,regular,0
All the light we cannot see,1,2023,Netflix,155421,limited,0
Scott Pilgrim Takes Off,1,2023,Netflix,155292,limited,0
What..If?,2,2023,Disney+,91363,regular,0
Echo,1,2024,Disney+,122226,limited,0
3 Body Problem,1,2024,Netflix,108545,regular,0
Fallout,1,2024,Amazon Prime Video,106379,regular,0
Baby Reindeer,1,2024,Netflix,241259,limited,0
Star Wars:Tales of the Empire,1,2024,Disney+,251091,limited,0
X-Men'97,1,2024,Disney+,138502,regular,0
Sweet Tooth,2,2024,Netflix,103768,regular,0
Sweet Tooth,3,2024,Netflix,103768,regular,0
The Acolyte,1,2024,Disney+,114479,limited,0
Batman: Caped Crusader,1,2024,Amazon Prime Video,125909,regular,0
The Decameron,1,2024,Netflix,250162,limited,0
Knuckles,1,2024,SkyShowtime,158300,regular,0
Futurama Season 12,9,2024,Disney+,615,regular,0
Terminator Zero,1,2024,Netflix,239287,limited,0
The Lord of the Rings: The Rings of Power,2,2024,Amazon Prime Video,84773,regular,0
Agatha All Along,1,2024,Disney+,138501,limited,0
Uzumaki,1,2024,Max,93241,limited,0
The Penguin,1,2024,Max,194764,limited,0
BrickToons,1,2024,Disney+,262153,regular,0
Marvel's Hit-Monkey,2,2024,Disney+,133903,regular,0
Hot Wheels Let's Race,1,2024,Netflix,235995,regular,0
Hot Wheels Let's Race,2,2024,Netflix,235995,regular,0
Shatter Belt,1,2024,FILMIN,222028,limited,0
The Simpsons,35,2024,Disney+,456,regular,0
La Ultima Noche en Tremore Beach,1,2024,Netflix,242879,limited,0
Scavengers Reign,1,2024,Max,204154,limited,0
Astronauta,1,2024,Max,215580,limited,0
What..If?,3,2024,Disney+,91363,regular,0
Cien A̱os de Soledad,1,2025,Netflix,207333,regular,0
Creature Commandos,1,2025,Netflix,219543,regular,0
Squid Game,2,2025,Netflix,93405,regular,0
Silo,2,2025,Apple TV,125988,regular,0
Cassandra,1,2025,Netflix,248982,limited,0
Your Friendly Neighborhood Spider-Man,1,2025,Disney+,138503,regular,0
Severance,1,2025,Apple TV,95396,regular,0
Hot Wheels Let's Race,3,2025,Netflix,235995,regular,0
Severance,2,2025,Apple TV,95396,regular,0
Common Side Effects,1,2025,MAX,228878,limited,0
House of David,1,2025,Amazon Prime Video,243881,regular,0
Black Mirror,7,2025,Netflix,42009,regular,0
Daredevil: Born Again,1,2025,Disney+,202555,regular,0
Tron: Uprising,1,2025,Alternative,34356,limited,0
Andor,2,2025,Disney+,83867,regular,0
Star Wars: Tales of the underworld,1,2025,Disney+,288055,limited,0
"Love, Death & Robots",4,2025,Netflix,86831,regular,0
Iron Heart,1,2025,Disney+,114471,limited,0
Squid Game,3,2025,Netflix,93405,regular,0
Murderbot,1,2025,Apple TV,241554,regular,0
The Sandman,2,2025,Netflix,90802,regular,0
Eyes of Wakanda,1,2025,Disney+,241388,limited,0
Alien: Earth,1,2025,Disney+,00000,regular,0
Futurama,10,2023,Disney+,615,regular,0
aka Charlie Sheen,1,2025,Netflix,298234,limited,8
Marvel Zombies,1,2025,Disney+,138505,limited,9
Star Trek: Strange New Worlds,3,2025,SkyShowTime,103516,regular,9.5
The Simpsons,36,2024,Disney+,456,regular,7
